diffusion_coeff,seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
0.020000000000,4020,5000,50000,64,0.000000000000,1.000000000000,0.127380324642,0.360758099867,0.955434473142,0.127378137142,0.360758099884,0.955434473165,-0.233377775224,0.594676373275,-0.233379962741,0.594676373282,0.828054148500,0.828056336023,39,59,53,61,0,6,8,0,0,0,0
0.020000000000,4021,5000,50000,64,0.000000000000,1.000000000000,0.090119580358,0.284395156748,0.829023955999,0.090117080358,0.284395156756,0.829023956014,-0.194275576390,0.544628799252,-0.194278076398,0.544628799258,0.738904375641,0.738906875656,40,59,56,61,0,3,5,0,0,0,0
0.020000000000,4022,5000,50000,64,0.000000000000,1.000000000000,0.099360500094,0.382228152877,0.776185968255,0.099358312594,0.382228152894,0.776185968279,-0.282867652783,0.393957815378,-0.282869840300,0.393957815384,0.676825468161,0.676827655684,40,60,54,62,0,6,8,0,0,0,0
0.020000000000,4023,5000,50000,64,0.000000000000,1.000000000000,0.086550291281,0.127327530364,0.494333718039,0.086547947531,0.127327530375,0.494333718056,-0.040777239083,0.367006187674,-0.040779582844,0.367006187681,0.407783426757,0.407785770525,39,58,54,60,0,4,6,0,0,0,0
0.020000000000,4024,5000,50000,64,0.000000000000,1.000000000000,0.188690974828,0.244554304173,0.672593514089,0.188688318578,0.244554304182,0.672593514103,-0.055863329345,0.428039209915,-0.055865985604,0.428039209921,0.483902539260,0.483905195525,39,59,56,61,0,3,5,0,0,0,0
0.020000000000,4025,5000,50000,64,0.000000000000,1.000000000000,0.090698831473,0.143863925037,0.430512750641,0.090696487723,0.143863925048,0.430512750649,-0.053165093564,0.286648825604,-0.053167437325,0.286648825601,0.339813919168,0.339816262926,39,58,54,57,0,4,3,0,0,0,0
0.020000000000,4026,5000,50000,64,0.000000000000,1.000000000000,0.216162516908,0.384061306032,0.954384065581,0.216160173158,0.384061306049,0.954384065604,-0.167898789124,0.570322759549,-0.167901132891,0.570322759555,0.738221548673,0.738223892447,39,60,54,62,0,6,8,0,0,0,0
0.020000000000,4027,5000,50000,64,0.000000000000,1.000000000000,0.135736975095,0.369100514050,0.914386307480,0.135734943845,0.369100514068,0.914386307501,-0.233363538955,0.545285793430,-0.233365570223,0.545285793433,0.778649332385,0.778651363655,42,61,55,62,0,6,7,0,0,0,0
0.020000000000,4028,5000,50000,64,0.000000000000,1.000000000000,0.190691933929,0.347720812114,0.819067835174,0.190689746429,0.347720812131,0.819067835197,-0.157028878184,0.471347023060,-0.157031065701,0.471347023067,0.628375901245,0.628378088768,39,59,53,61,0,6,8,0,0,0,0
0.020000000000,4029,5000,50000,64,0.000000000000,1.000000000000,0.072429322627,0.266078476201,0.739081793985,0.072427291377,0.266078476215,0.739081794002,-0.193649153573,0.473003317784,-0.193651184838,0.473003317787,0.666652471357,0.666654502625,42,60,55,61,0,5,6,0,0,0,0
0.040000000000,4000,5000,50000,64,0.000000000000,1.000000000000,0.061235827385,0.048428682007,0.457813171165,0.061234264885,0.048428682010,0.457813171174,0.012807145378,0.409384489158,0.012805582875,0.409384489164,0.396577343780,0.396578906288,44,55,54,57,0,1,3,0,0,0,0
0.040000000000,4001,5000,50000,64,0.000000000000,1.000000000000,0.109919431197,0.183222922200,0.583132075389,0.109917087447,0.183222922208,0.583132075406,-0.073303491003,0.399909153189,-0.073305834761,0.399909153198,0.473212644192,0.473214987959,38,56,53,59,0,3,6,0,0,0,0
0.040000000000,4002,5000,50000,64,0.000000000000,1.000000000000,0.082338222150,0.545043561642,0.698963246585,0.082335878400,0.545043561662,0.698963246608,-0.462705339492,0.153919684943,-0.462707683262,0.153919684946,0.616625024435,0.616627368208,37,59,52,60,0,7,8,0,0,0,0
0.040000000000,4003,5000,50000,64,0.000000000000,1.000000000000,0.145102785839,0.115054044321,0.110073304313,0.145100129589,0.115054044332,0.110072991813,0.030048741518,-0.004980740007,0.030046085257,-0.004981052519,-0.035029481525,-0.035027137775,38,59,55,53,0,4,0,0,0,0,0
0.040000000000,4004,5000,50000,64,0.000000000000,1.000000000000,0.116031475247,0.273799321754,0.579500720217,0.116028975247,0.273799321765,0.579500720237,-0.157767846507,0.305701398463,-0.157770346518,0.305701398472,0.463469244970,0.463471744990,37,57,53,60,0,4,7,0,0,0,0
0.040000000000,4005,5000,50000,64,0.000000000000,1.000000000000,0.057645438665,0.070882109576,0.436646824202,0.057643563665,0.070882109581,0.436646824210,-0.013236670911,0.365764714626,-0.013238545916,0.365764714629,0.379001385537,0.379003260545,41,55,53,56,0,2,3,0,0,0,0
0.040000000000,4006,5000,50000,64,0.000000000000,1.000000000000,0.222427472532,0.115974491776,0.453786619914,0.222424503782,0.115974491790,0.453786619931,0.106452980756,0.337812128138,0.106450011992,0.337812128141,0.231359147382,0.231362116149,34,58,53,59,0,5,6,0,0,0,0
0.040000000000,4007,5000,50000,64,0.000000000000,1.000000000000,0.069897631787,0.172591088390,0.472931915320,0.069895288037,0.172591088395,0.472931915329,-0.102693456603,0.300340826931,-0.102695800358,0.300340826934,0.403034283533,0.403036627292,41,58,56,59,0,2,3,0,0,0,0
0.040000000000,4008,5000,50000,64,0.000000000000,1.000000000000,0.131527534786,0.128619751362,0.596319206774,0.131525503536,0.128619751364,0.596319206783,0.002907783425,0.467699455413,0.002905752172,0.467699455418,0.464791671988,0.464793703246,41,55,54,57,0,1,3,0,0,0,0
0.040000000000,4009,5000,50000,64,0.000000000000,1.000000000000,0.090716039967,0.771006819076,0.906341310698,0.090713383717,0.771006819102,0.906341310727,-0.680290779110,0.135334491622,-0.680293435385,0.135334491625,0.815625270731,0.815627927011,34,60,51,61,0,9,10,0,0,0,0
0.040000000000,4010,5000,50000,64,0.000000000000,1.000000000000,0.169783530009,0.819076865845,0.900149626579,0.169781186259,0.819076865862,0.900149626599,-0.649293335836,0.081072760735,-0.649295679603,0.081072760738,0.730366096570,0.730368440340,38,59,53,60,0,6,7,0,0,0,0
0.040000000000,4011,5000,50000,64,0.000000000000,1.000000000000,0.150230184798,0.595457215198,0.741712904141,0.150227059798,0.595457215215,0.741712904164,-0.445227030400,0.146255688942,-0.445230155417,0.146255688949,0.591482719342,0.591485844365,32,58,52,60,0,6,8,0,0,0,0
0.040000000000,4012,5000,50000,64,0.000000000000,1.000000000000,0.085727906087,0.124850575442,0.665202539280,0.085726187337,0.124850575444,0.665202539291,-0.039122669355,0.540351963838,-0.039124388108,0.540351963847,0.579474633193,0.579476351954,44,56,55,59,0,1,4,0,0,0,0
0.040000000000,4013,5000,50000,64,0.000000000000,1.000000000000,0.188764486276,0.302469012314,0.618713974321,0.188761673776,0.302469012325,0.618713974341,-0.113704526038,0.316244962006,-0.113707338549,0.316244962016,0.429949488044,0.429952300565,36,58,54,61,0,4,7,0,0,0,0
0.040000000000,4014,5000,50000,64,0.000000000000,1.000000000000,0.147524379708,0.793645252916,0.888777524216,0.147522035958,0.793645252948,0.888777524251,-0.646120873208,0.095132271300,-0.646123216990,0.095132271303,0.741253144508,0.741255488292,33,59,48,60,0,11,12,0,0,0,0
0.040000000000,4015,5000,50000,64,0.000000000000,1.000000000000,0.098247039162,0.283130754592,0.679319135319,0.098245476662,0.283130754600,0.679319135333,-0.184883715430,0.396188380727,-0.184885277938,0.396188380733,0.581072096157,0.581073658671,45,58,55,60,0,3,5,0,0,0,0
0.040000000000,4016,5000,50000,64,0.000000000000,1.000000000000,0.145360996844,0.619646789997,0.754071764241,0.145358809344,0.619646790028,0.754071764274,-0.474285793153,0.134424974243,-0.474287980684,0.134424974246,0.608710767396,0.608712954930,33,58,47,59,0,11,12,0,0,0,0
0.040000000000,4017,5000,50000,64,0.000000000000,1.000000000000,0.156763210945,0.748173145053,1.164165217763,0.156761023445,0.748173145079,1.164165217796,-0.591409934108,0.415992072710,-0.591412121634,0.415992072717,1.007402006818,1.007404194351,37,60,51,62,0,9,11,0,0,0,0
0.040000000000,4018,5000,50000,64,0.000000000000,1.000000000000,0.115987607849,0.259613507117,0.661279660792,0.115985420349,0.259613507128,0.661279660809,-0.143625899268,0.401666153675,-0.143628086779,0.401666153682,0.545292052943,0.545294240460,40,58,54,60,0,4,6,0,0,0,0
0.040000000000,4019,5000,50000,64,0.000000000000,1.000000000000,0.096332486308,0.128889856701,0.427008439413,0.096330298808,0.128889856715,0.427008439429,-0.032557370393,0.298118582711,-0.032559557907,0.298118582714,0.330675953104,0.330678140621,38,57,52,58,0,5,6,0,0,0,0
0.040000000000,4020,5000,50000,64,0.000000000000,1.000000000000,0.138977631385,0.333712470002,0.896573295843,0.138975443885,0.333712470015,0.896573295866,-0.194734838616,0.562860825842,-0.194737026130,0.562860825851,0.757595664458,0.757597851981,38,57,52,60,0,5,8,0,0,0,0
0.040000000000,4021,5000,50000,64,0.000000000000,1.000000000000,0.093918300872,0.278721891611,0.731191454877,0.093915957122,0.278721891619,0.731191454891,-0.184803590739,0.452469563265,-0.184805934497,0.452469563271,0.637273154005,0.637275497769,39,57,54,59,0,3,5,0,0,0,0
0.040000000000,4022,5000,50000,64,0.000000000000,1.000000000000,0.109741254266,0.403322586776,0.681952909099,0.109739066766,0.403322586793,0.681952909123,-0.293581332509,0.278630322324,-0.293583520026,0.278630322330,0.572211654833,0.572213842357,39,59,53,61,0,6,8,0,0,0,0
0.040000000000,4023,5000,50000,64,0.000000000000,1.000000000000,0.095132103650,0.136287282301,0.555172060250,0.095129916150,0.136287282306,0.555172060266,-0.041155178650,0.418884777949,-0.041157366155,0.418884777961,0.460039956599,0.460042144116,39,55,53,59,0,2,6,0,0,0,0
0.040000000000,4024,5000,50000,64,0.000000000000,1.000000000000,0.189680869751,0.255219112854,0.633070313434,0.189678213501,0.255219112865,0.633070313451,-0.065538243103,0.377851200580,-0.065540899364,0.377851200586,0.443389443683,0.443392099950,37,58,54,60,0,4,6,0,0,0,0
0.040000000000,4025,5000,50000,64,0.000000000000,1.000000000000,0.097416750552,0.133025515421,0.492233035777,0.097414406802,0.133025515429,0.492233035791,-0.035608764869,0.359207520357,-0.035611108627,0.359207520362,0.394816285225,0.394818628989,38,56,53,58,0,3,5,0,0,0,0
0.040000000000,4026,5000,50000,64,0.000000000000,1.000000000000,0.220105139837,0.401919868372,0.973950473189,0.220102483587,0.401919868383,0.973950473204,-0.181814728535,0.572030604818,-0.181817384796,0.572030604821,0.753845333352,0.753847989617,38,59,55,60,0,4,5,0,0,0,0
0.040000000000,4027,5000,50000,64,0.000000000000,1.000000000000,0.147721559542,0.410819181788,0.743439885830,0.147719684542,0.410819181802,0.743439885851,-0.263097622246,0.332620704043,-0.263099497260,0.332620704049,0.595718326289,0.595720201309,42,59,54,61,0,5,7,0,0,0,0
0.040000000000,4028,5000,50000,64,0.000000000000,1.000000000000,0.211031330716,0.347041780808,0.858950319928,0.211028830716,0.347041780822,0.858950319951,-0.136010450091,0.511908539120,-0.136012950105,0.511908539129,0.647918989211,0.647921489234,36,57,52,60,0,5,8,0,0,0,0
0.040000000000,4029,5000,50000,64,0.000000000000,1.000000000000,0.077868041000,0.253290888888,0.702862133600,0.077865853500,0.253290888897,0.702862133614,-0.175422847888,0.449571244712,-0.175425035396,0.449571244717,0.624994092600,0.624996280114,40,57,54,59,0,3,5,0,0,0,0
